  Sc.N.1:     1.51585e-07     7.16686e-07     2.93441e-06     8.73976e-06     1.39452e-05     8.21664e-06     2.43351e-06     4.98213e-07     5.40994e-08     2.53741e-09     4.76753e-11     2.92018e-13     3.17445e-16     6.40848e-20     2.99404e-24     4.91604e-30     1.73807e-37     1.19596e-45     1.28512e-56     2.80112e-71     5.46951e-87
  Sc.N.2:     8.33439e-08     4.21761e-07     1.72507e-06     5.22973e-06     9.63706e-06     9.65267e-06     6.99395e-06     4.07884e-06     1.83038e-06     5.97245e-07     1.33368e-07     1.92410e-08     1.69218e-09     8.60775e-11     2.39072e-12     3.42191e-14     2.23654e-16     5.12205e-19     3.45283e-22     4.04659e-26     6.39805e-31
  Sc.N.3:     4.28973e-08     2.31278e-07     9.52712e-07     2.96254e-06     6.24842e-06     8.64430e-06     8.87118e-06     7.03027e-06     4.30577e-06     2.03729e-06     7.46039e-07     2.11472e-07     4.59597e-08     7.47597e-09     8.76618e-10     7.05562e-11     3.64684e-12     1.09021e-13     1.57379e-15     7.94104e-18     7.57003e-21
  Sc.N.4:     2.27711e-08     1.28311e-07     5.35336e-07     1.71026e-06     3.97650e-06     6.62718e-06     8.35192e-06     8.22125e-06     6.45497e-06     4.11749e-06     2.16656e-06     9.48957e-07     3.46090e-07     1.04107e-07     2.53127e-08     4.80795e-09     6.74286e-10     6.33261e-11     3.33791e-12     7.10477e-14     3.19606e-16
  Sc.N.5:     1.24375e-08     7.20862e-08     3.05259e-07     1.00083e-06     2.49320e-06     4.68447e-06     6.82897e-06     7.93971e-06     7.53525e-06     5.94875e-06     3.95968e-06     2.23913e-06     1.07747e-06     4.39406e-07     1.50202e-07     4.20870e-08     9.25174e-09     1.46287e-09     1.40274e-10     5.83380e-12     5.32113e-14
  Sc.N.6:     6.89642e-09     4.07456e-08     1.75176e-07     5.88509e-07     1.54535e-06     3.16719e-06     5.16029e-06     6.83544e-06     7.51451e-06     6.97214e-06     5.52742e-06     3.77454e-06     2.22917e-06     1.13824e-06     4.99266e-07     1.84866e-07     5.55664e-08     1.24815e-08     1.76870e-09     1.12201e-10     1.56459e-12
  Sc.N.7:     3.85517e-09     2.31091e-08     1.00824e-07     3.46550e-07     9.50056e-07     2.08420e-06     3.70999e-06     5.45664e-06     6.74846e-06     7.12254e-06     6.48949e-06     5.14651e-06     3.57027e-06     2.16879e-06     1.14786e-06     5.20953e-07     1.95271e-07     5.57163e-08     1.02052e-08     8.44745e-10     1.51760e-11
  Sc.N.8:     2.16656e-09     1.31404e-08     5.81408e-08     2.04155e-07     5.80627e-07     1.34678e-06     2.57775e-06     4.13248e-06     5.63220e-06     6.61191e-06     6.75744e-06     6.06092e-06     4.79573e-06     3.35271e-06     2.06214e-06     1.09937e-06     4.89819e-07     1.68204e-07     3.74768e-08     3.78245e-09     8.14604e-11
  Sc.N.9:     1.22251e-09     7.48901e-09     3.35783e-08     1.20281e-07     3.53249e-07     8.58862e-07     1.74714e-06     3.01150e-06     4.45511e-06     5.72268e-06     6.44552e-06     6.41444e-06     5.66943e-06     4.45823e-06     3.10736e-06     1.89255e-06     9.71858e-07     3.88069e-07     1.01189e-07     1.19284e-08     2.94506e-10
 Sc.N.10:     6.92122e-10     4.27713e-09     1.94182e-08     7.08637e-08     2.14139e-07     5.42218e-07     1.16208e-06     2.13144e-06     3.38329e-06     4.69616e-06     5.75142e-06     6.25982e-06     6.08510e-06     5.29292e-06     4.10533e-06     2.80067e-06     1.62222e-06     7.35583e-07     2.18689e-07     2.92723e-08     8.05499e-10
